event_date,phone_is_null,is_military,is_phone_lokal,is_phone_ru,category,is_transit,is_single_signal,echelon,devices
2025-07-31,False,True,True,False,constant,False,False,2,17
2025-07-21,False,True,False,True,disapeared,True,False,2,52
2025-07-30,False,True,False,True,constant,False,False,0,492
2025-07-30,False,True,False,True,constant,False,False,3,93
2025-08-22,False,True,False,True,arrived,False,False,3,1
2025-08-30,False,True,False,True,new,True,False,0,16
2025-08-30,False,True,False,True,new,False,False,3,27
2025-07-30,False,True,False,True,disapeared,False,False,0,96
2025-08-23,False,True,True,False,departed,True,False,0,5
2025-08-28,False,True,False,True,new,False,True,3,16
2025-09-13,False,True,False,True,new,False,False,2,165
2025-09-11,False,True,False,True,departed,True,False,0,17
2025-08-03,False,False,False,True,new,True,False,2,5098
2025-07-28,False,False,False,True,constant,False,False,1,1621
2025-07-28,False,False,True,False,disapeared,True,False,1,4909
2025-08-05,False,False,False,True,constant,False,False,3,1561
2025-07-13,False,False,True,False,arrived,True,False,0,1881
2025-07-14,False,False,False,True,new,False,True,3,235
2025-07-28,False,False,True,False,new,False,False,0,192
2025-07-26,False,False,False,True,disapeared,False,False,3,522
2025-07-22,False,False,True,False,departed,True,False,3,102
2025-08-03,False,False,False,True,new,False,True,3,184
2025-08-04,False,False,True,False,disapeared,True,False,0,456
2025-08-01,False,False,True,False,new,False,False,1,479
2025-07-20,False,False,True,False,new,False,True,0,11
2025-07-31,False,False,False,True,disapeared,True,False,0,192
2025-07-12,False,False,False,True,arrived,False,False,2,125
2025-07-09,False,False,True,False,disapeared,False,False,3,191
2025-07-07,False,False,False,True,disapeared,False,True,2,399
2025-07-09,False,False,False,True,new,False,True,1,209
2025-07-16,True,False,False,True,disapeared,True,False,0,73
2025-08-20,False,False,True,False,constant,True,False,2,2970
2025-08-27,False,False,False,True,disapeared,False,False,2,2589
2025-08-27,False,False,False,True,disapeared,False,True,1,158
2025-09-06,False,False,False,True,disapeared,True,False,0,249
2025-08-25,False,False,False,True,new,True,False,1,426
2025-08-25,False,False,False,True,disapeared,False,False,2,2051
2025-08-06,True,False,False,True,new,True,False,0,98
2025-08-25,False,False,True,False,departed,False,False,3,44
2025-08-28,False,False,True,False,constant,True,False,3,51
2025-07-30,False,False,False,True,departed,True,False,1,163
2025-08-28,False,False,True,False,new,False,True,0,11
2025-09-04,False,False,False,True,arrived,True,False,2,488
2025-08-31,False,False,False,True,arrived,True,False,3,88
2025-08-25,False,False,False,False,constant,True,False,0,15
2025-08-18,False,False,True,False,new,True,False,1,951
2025-09-08,False,False,False,True,departed,True,False,2,563
2025-09-07,False,False,True,False,disapeared,False,True,2,283
2025-09-23,True,False,False,True,disapeared,False,True,0,1144
2025-09-09,False,False,False,True,constant,False,False,2,5753
2025-07-04,False,False,True,False,disapeared,False,False,3,132
2025-09-03,True,False,False,True,new,False,False,0,698
2025-09-13,False,False,True,False,disapeared,False,False,3,186
2025-08-24,True,False,False,True,disapeared,True,False,0,106
2025-09-03,False,False,True,False,constant,True,False,3,29
2025-09-02,False,False,False,True,departed,False,False,3,11
2025-07-03,False,False,False,True,departed,False,False,2,192
2025-09-12,True,False,False,True,disapeared,False,True,0,766
2025-09-11,True,False,False,True,disapeared,False,False,0,972
2025-09-11,False,False,False,True,new,False,True,3,184
2025-09-19,False,False,True,False,new,False,True,3,101
2025-09-18,True,False,False,True,new,True,False,0,91
2025-09-19,False,False,False,True,new,True,False,0,216
2025-09-23,False,False,False,True,new,True,False,3,97
2025-08-17,True,False,False,True,departed,False,False,0,39
2025-08-10,False,False,False,True,arrived,True,False,1,11
2025-08-03,False,True,False,True,disapeared,False,False,1,103
2025-08-05,False,True,False,True,constant,False,False,0,499
2025-07-25,False,True,False,True,new,True,False,1,17
2025-08-03,False,True,False,True,disapeared,False,False,0,136
2025-07-13,False,True,True,False,new,False,True,1,1
2025-07-12,False,True,False,True,new,False,True,3,11
2025-07-15,False,True,False,True,disapeared,False,False,2,153
2025-07-29,False,True,False,True,disapeared,False,True,1,17
2025-08-29,False,True,True,False,departed,True,False,0,4
2025-08-07,False,True,False,True,arrived,True,False,1,15
2025-08-28,False,True,False,True,new,False,True,2,40
2025-07-04,False,True,False,True,constant,False,False,1,184
2025-07-06,False,True,False,True,arrived,True,False,0,4
2025-07-04,False,True,False,True,arrived,True,False,1,6
2025-09-16,False,True,False,True,new,False,True,0,31
2025-09-23,False,True,False,True,disapeared,False,False,1,31
2025-09-21,False,True,False,True,new,False,True,3,13
2025-07-28,True,False,False,True,disapeared,False,False,0,940
2025-08-07,True,False,False,True,new,False,True,0,622
2025-07-24,False,False,False,True,disapeared,True,False,1,247
2025-08-07,False,False,True,False,new,False,False,2,616
2025-08-22,False,False,False,True,new,False,False,2,3477
2025-07-14,False,False,True,False,constant,True,False,3,49
2025-07-20,False,False,False,True,constant,True,False,0,157
2025-07-18,False,False,True,False,disapeared,True,False,3,36
2025-08-06,False,False,False,True,new,False,False,0,908
2025-07-09,False,False,False,True,constant,True,False,1,125
2025-07-09,False,False,True,False,new,False,True,3,194
2025-07-26,False,False,True,False,departed,False,False,0,48
2025-08-21,False,False,False,True,departed,True,False,1,289
2025-08-06,False,False,False,True,disapeared,False,True,1,108
